Model_name,R2_Score_test,R2_Score_train,MAE,RMSE,Training_Time
XGBRegressor,0.666032,0.679548,2163.145276,2896.783001,0.465376
CatBoostRegressor,0.665757,0.677714,2165.890656,2897.9739,0.950537
Gradient_Boosting,0.642872,0.649617,2267.903471,2995.540704,0.421802
RandomForestRegressor,0.629387,0.780773,2221.35818,3051.569813,1.300696
Adaboost_Regressor,0.437517,0.441683,2983.203713,3759.39409,0.214022
Ridge,0.130098,0.131162,3576.619859,4675.181934,0.001498
LinearRegression,0.130098,0.131162,3576.61939,4675.181947,0.003026
Lasso,0.130096,0.131161,3576.680108,4675.18521,0.002513
