,Model_name,R2_Score_test,R2_Score_train,MAE,RMSE,Training_Time
4,XGBRegressor,0.6660315347704567,0.6795480631107598,2163.14527613874,2896.78300072459,0.46047687927881875
5,CatBoostRegressor,0.6657568821842987,0.6777142570395711,2165.89065572902,2897.9738997425598,0.9737210313479105
6,Gradient_Boosting,0.6428719317250077,0.6496168278598747,2267.9034706137077,2995.5407035892326,0.3764840086301168
0,RandomForestRegressor,0.6295437578584442,0.780788539658765,2220.8854164340164,3050.9261219781047,1.2372452100118
7,Adaboost_Regressor,0.4034053161314878,0.4086955153128182,3050.921228583799,3871.7109113496763,0.2510313590367635
2,Ridge,0.13009752510732786,0.13116158703917002,3576.6198588074476,4675.1819342873005,0.0010080973307291666
1,LinearRegression,0.13009752050368628,0.13116158704004344,3576.6193901056677,4675.181946658147,0.0025675058364868163
3,Lasso,0.1300963059940763,0.13116097207556932,3576.6801082617985,4675.185210271918,0.002364333470662435
